"","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Total"
"1985–86","87.8","20.3","132.4","20","87.6","56.5","125.9","62.2","75.6","22.7","38.6","19.3","40.9","17.2","54.5","72.3","86.1","12.1","50.4","1,082.50"
"1986–87","90.5","21.7","130.4","18.7","87.1","58.2","133.6","67.2","80.1","23.5","40.5","18.5","43.7","17.9","60.4","78.8","89.3","14.9","50.9","1,125.90"
"1987–88","86.6","22.1","129.6","16.1","89.5","57.3","136.8","72.2","78.1","25.1","41.3","21","50.2","19.5","63.2","84.3","88.7","17","57","1,155.70"
"1988–89","89.3","22.7","151.4","16.2","108.6","61.6","146.7","81.2","80.7","25.4","44.2","25.1","53.9","21.7","58.9","79","95.8","14.2","60.6","1,237.10"
"1989–90","93.3","26.4","155.6","16","115.7","69.6","153.5","87.5","79.7","27.7","44.1","26.7","56.4","24","60.9","88.7","98","19.5","61.9","1,305.30"
"1990–91","88","23.8","143.6","14.2","109.4","70.9","157.7","82.3","78.7","24.6","46.7","26.9","58.6","26.2","65.3","93.9","107.7","15.5","66.2","1,300.10"
"1991–92","80.3","21.6","150.5","16.8","101.3","69.9","160.8","89.6","74.4","25","45.4","24.4","61","28.4","68.8","93.2","115.1","18.6","64.6","1,309.90"
"1992–93","77.4","18.9","155.8","16.3","113.7","71.6","162.9","90.6","73.3","23.4","46.6","28.6","58.9","27.4","71.7","101","110.7","18.4","69.6","1,336.90"
"1993–94","79.9","16.2","164","15.6","125.9","71.8","164.9","96","75.5","25.5","44.7","30.1","61.8","27","76.1","102.7","121.3","19","63.8","1,381.80"
"1994–95","81.8","15.2","171.4","15.6","136.2","73","163.4","103.1","82.9","29","46.6","32.4","77.9","38.2","70.5","101.5","125.9","23.5","67.3","1,455.60"
"1995–96","83.2","17.9","172.5","15.9","125.5","70.1","172.8","103.8","85.9","29","44","29.7","79.2","44.2","84.6","110.5","131.2","24.3","69.2","1,493.30"
"1996–97","85.3","16.9","162.9","15.1","124.3","70.6","174","113.5","89.9","28.1","46.1","30.7","81.9","39","80.1","110.3","138.2","26.4","74.4","1,507.80"
"1997–98","91.2","18.3","166.7","14.6","122.3","71.8","175.3","118.1","90.1","29.2","46.2","31.8","90.3","46.7","74.5","116","144.6","27.5","76.7","1,551.80"
"1998–99","100.2","20.1","167.7","14.4","133.5","74.9","189.6","116.7","85.7","30.3","41","30","85","44.5","81.2","117.5","151.6","28.4","73.8","1,586.10"
"1999–00","110.8","19","167.2","13.4","139.5","71.4","193.2","126.4","87.7","34.2","38.6","28.9","90.8","51.1","86.3","111.4","151.4","25.5","75.6","1,622.50"
"2000–01","94.3","17.2","171","12.8","133.3","69.7","197.2","129.6","88","29.1","42.6","32.4","95.1","58.6","85.7","121.6","160.3","27.8","77","1,643.50"
"2001–02","103.1","19.5","173.5","16.6","133.8","68.7","197.8","139.8","88.2","25.4","44.4","33.4","91","54.9","98.7","124.8","159.7","29.1","83.3","1,685.90"
"2002–03","93.1","18.4","172.4","15.3","145.7","67.6","216.4","130.8","89.5","36.7","45.2","35.2","97.2","63.7","116.4","129.9","169.6","31.1","82.6","1,756.90"
"2003–04","84.3","21.7","177.7","17.1","161.8","70.3","221.6","131.1","101.1","31.6","48.8","40","101.5","62.6","121","133.8","174.9","32.8","78.6","1,812.40"
"2004–05","77.8","24.2","190.1","17.1","183.7","70.1","239.8","142.6","104.7","35.8","50.3","44.8","113.8","60.3","111.1","144.5","177.7","32.3","80","1,900.70"
"2005–06","70.5","36.8","177.2","22.9","198.8","65.9","243.2","140.9","108","33.5","54.7","51.6","121.4","66","122.3","153.1","190.5","36.4","86","1,979.60"
"2006–07","76.3","34.5","184","19.6","220.1","64.4","252.4","145.8","118.7","37.9","58.9","54","130.2","70.6","129.6","145.6","204.1","35.7","90.3","2,072.60"
"2007–08","78.1","37.2","186.7","22.8","232.7","67.8","263.8","150.9","118.4","40.6","55.4","53.2","137.4","72","127.8","159.5","208.7","38.9","86.1","2,138.20"
"2008–09","77.3","45.7","186.6","26.6","242.4","66.3","258","156.8","136.9","35.1","62","53","144.9","66.4","127.7","168.7","222.8","34.1","94.7","2,205.90"
"2009–10","84.3","41.6","183.8","27.8","228.4","80.2","246.7","157.6","128.9","28.9","57","49.8","148.9","77","134.5","158.9","242.4","36.9","94","2,207.40"
"2010–11","74.4","53.4","182.4","32.9","228.7","73.7","253.6","163.3","127.8","32.7","49.8","54.3","150.4","80.1","140.4","167.2","255","37.4","85.3","2,242.70"
"2011–12","74.3","63.9","175.8","41.1","222.5","72.2","241.7","155.6","124.7","30.6","64.8","51.8","149.5","79.5","149.3","174.6","273.9","40.9","87.1","2,273.60"
"2012–13","65.4","71.5","160.6","30.1","228.9","75.7","245.1","162.8","133.8","30.5","60.8","48.6","161.9","80.1","148.4","176.8","276.5","35.7","95.3","2,288.40"
"2013–14","55.3","77.3","177.5","33.4","229.3","67.7","268.7","148.7","125.4","30.5","53.8","48","163.7","83.4","151.2","175.6","281.7","39.9","102.8","2,313.90"
"2014–15","54.8","64.8","167","32.1","216.5","69.7","251.6","177","122.6","31.5","59.1","48","182.1","82","152","181.3","292.1","42.2","105.4","2,331.70"
"2015–16","58.7","57.8","168.9","31","208.3","68.5","254.9","166.5","132.8","32.9","66.9","48.8","177.1","85.3","149.9","197.3","314","41.6","104.3","2,365.60"
"2016–17","52.6","57.7","164.6","24.7","229.5","64.5","253.6","180.9","132.5","35.7","63.3","50","171.8","80.1","162.7","189","312.4","43.2","102.3","2,371.20"
"2017–18","63.4","61.6","170.7","33.1","239.4","64.4","262.1","181.9","140.8","28.4","62.1","47.9","169.2","90.6","149.8","203.1","351.3","45.2","106.5","2,471.30"
"2018–19","70.2","69.2","171.7","30.2","236.6","73.4","252.9","192.4","136.7","33.4","65.7","42.5","169","85.2","168.5","217.8","350.5","43.6","101.9","2,511.30"
"2019–20","80.8","66.2","165.2","31.6","246.3","72","231.4","191.5","129.1","28.6","59.7","52.2","192","87.4","157.2","217.4","355","45.5","104.9","2,514.10"
"2020–21","85.2","78","178.5","29.5","231.8","80.1","266.2","182.4","134.6","27.3","75.7","51.6","189.8","80.3","165.9","209.6","375.1","43.5","101.7","2,586.80"
"2021–22","68.4","79.4","187.6","32.6","240","69.1","254.9","206.1","140.8","29.1","69.7","55.8","212.9","83.3","170.3","234","426","40.6","115.3","2,715.80"
"2022–23","58.1","70.8","178.1","33.9","267.2","68.3","282.2","196.8","148.9","23.8","78.4","42.4","219.6","94.1","183.9","249.5","456.8","46.9","114.1","2,813.60"
